subject,predicate,object,confidence,source,correctness,relevance,well_formedness,normalized_score,rationale,error,document_id,section
potentially_modifiable_risk_factors,risk_factor_of,alzheimer_s_disease,0.4168485850095749,span,5,5,5,1.0,"Potentially modifiable risk factors being risk factors for Alzheimer's disease is accurate, relevant, and well formed.",,28_-_igae025_TAsiO8F_15,modifiable risk factors
osa,measured_by,key,0.591226550936699,span,1,1,1,0.0,‘Key’ is not a valid measurement method for OSA and the triple is nonsensical.,,31_-_zpae077_ruWgbRL_18,abstract
government_project,occurs_in,xiamen_city,0.4893072545528412,span,3,2,2,0.33333333333333337,A government project occurring in Xiamen is plausible but the triple is generic and the subject does not match expected domain entity types.,,120_-_s12877-024-05054-6_yX1OhhV_71,discussion
pathology_proteins,like,amyloid,0.25,prep,5,4,3,0.75,"Accurately indicates that pathology proteins include amyloid, but predicate is informal and entity typing is imprecise.",,100_-_e20230112DOSE_WvcQb2u_60,diet and dementia
use_disorder,promote,alzheimer,0.1,pos,4,3,3,0.5833333333333334,"Plausible that a substance use disorder increases risk or promotes Alzheimer’s disease, but the subject/predicate are informal and could be better typed as a risk factor relation.",,37_-_ENEURO_8cwR40c,discussion
alzheimer_s_disease,treated_by,memantine,0.45296994149684905,span,5,4,5,0.9166666666666667,Memantine is an approved treatment for moderate to severe Alzheimer's disease.,,61_-_Alzheimer_s___Dementia_-_2024_-_Wang_-_Associations_of_semaglutide_with_f_p5aJXwB_42,3.1 study populations
preclinical_alzheimer_disease_status,include,oscillibacter,0.15000000000000002,pos,3,4,3,0.5833333333333334,"It is plausible that Oscillibacter is linked to preclinical AD status, but the subject/object types and predicate are phrased awkwardly.",,45_-_s40120-024-00666-x_SVToKWc_29,discussion
exercise_intervention_trials,part_of,one_of_the_longest_exercise_intervention_trials_in_the_literature,0.5539632439613342,span,2,2,2,0.25,Similar to #1 but more verbose; the object is a descriptive phrase not a clear entity and the part_of relation is awkward here.,,52_-_aerobic_exercise_training_for_the_aging_brain__vLXJT2d,white matter integrity
fluid-_based_biomarkers,for,vascular_injury,0.25,prep,5,5,4,0.9166666666666667,"Fluid-based biomarkers for vascular injury is a clear, plausible, and relevant relation.",,64_-_Alzheimer_s___Dementia_-_2024_-_Charisis_-_Leptin_bioavailability_and_mar_6jCZ8bG_44,2.6.2replication
training_dataset,predict,impaired_cognition,0.15000000000000002,pos,2,3,2,0.33333333333333337,"A training dataset itself does not predict (models trained on it do), so the claim is imprecise though related to a plausible setup.",,33_-_journal_ctZxPZh,data source
risk_factors,risk_factor_of,prediction,0.6647675842046739,span,1,1,1,0.0,Saying generic 'risk_factors' are a risk factor of a 'prediction' is nonsensical and does not fit the schema.,,57_-_wei-et-al-2024-modifiable-and-non-modifiable-risk-factors-for-dementia-am_OCoG51B_38,discussion
authors,thank_for,participation,0.39999999999999997,svo,3,1,1,0.16666666666666669,Plausible acknowledgement phrasing but not informative and does not match allowed relations or entity types.,,20_-_med3789_rH3Cojx_12,acknowledgments
targeted_interventions,improves,brain,0.5965832352638245,span,3,3,3,0.5,"Saying targeted interventions 'improve brain' is vague—the intent (improve brain function/health) is plausible, but the object 'brain' as anatomy makes the triple less well specified.",,113_-_CNS-30-e70057_hB8kVVH_66,4 | discussion
alcohol-gs,predicts,alcohol_consumption,0.43514456152915953,span,5,4,4,0.8333333333333333,An alcohol genetic score predicting alcohol consumption is a plausible and well-formed genetic predictor relation.,,71_-_1-s2_JQqHHNg,statistics
improvement,contribute_in,addition,0.39999999999999997,svo,1,1,1,0.0,This triple is nonsensical and ill-formed with no clear entities or meaningful relation.,,57_-_wei-et-al-2024-modifiable-and-non-modifiable-risk-factors-for-dementia-am_OCoG51B_38,discussion
conservative_accuracy,combine,combined_paf,0.1,pos,2,1,1,0.08333333333333331,The subject is ambiguous and the relation to combining combined_paf is malformed and unclear.,,12_-_s12916-024-03464-2_KAy1DzV_6,strengths and limitations
risk_factors,consider,specific_periods,0.15000000000000002,pos,3,3,2,0.41666666666666663,"It's plausible that risk factors should be considered during specific periods, but the predicate 'consider' is generic and not in the allowed relations.",,12_-_s12916-024-03464-2_KAy1DzV_6,modifiable risk factor prevalence
brain-age_gaps,measured_by,eeg_datasets,0.38100385665893555,span,4,4,4,0.75,Using EEG datasets to measure brain‑age gaps is plausible and the triple is meaningfully specified.,,43_-_s41591-024-03209-x_d9VLc4l_27,sensitivity analyses
age,come,coming_decades,0.15000000000000002,pos,1,1,1,0.0,The predicate and object are nonsensical and the claim has no clear factual meaning.,,25_-_genes-15-00153_coMgvEa_13,1. introduction
physical_inactivity,identify_as,major_contributors,0.35,svo,4,4,3,0.6666666666666666,"Physical inactivity being identified as a major contributor is plausible and informative, though the predicate is oddly phrased.",,38_-_PIIS2214109X24002754_Abn6hqG_25,results
percentage,occurs_in,inner_circle,0.4583115607500076,span,1,1,2,0.08333333333333331,Saying 'percentage occurs in inner_circle' is nonsensical without context and does not fit the expected entity schema.,,36_-_jmir-2024-1-e49794_bCxMZ5Y_23,signal processing: ball position metrics
cognitive_impairment_risk,measured_by,nomogram,0.5562754899263382,span,5,4,5,0.9166666666666667,"Nomograms are commonly used to measure or predict risk (including risk of cognitive impairment), so this is accurate, relevant, and well formed.",,10_-_prevalence_of_cognitive_impairment_and_its_JJn2E0T,5. conclusion
longer_identification_windows,for,exposure,0.25,prep,4,3,3,0.5833333333333334,Plausible statement about longer identification windows for exposure but uses a generic relation token.,,44_-_cai_2024_oi_240718_1720040123_JiF8b4M,strengths and limitations
age,risk_factor_of,impaired,0.49383357763290403,span,3,2,2,0.33333333333333337,Age is plausibly a risk factor for impairment but 'impaired' is vague and the object is not a well-defined entity.,,36_-_jmir-2024-1-e49794_bCxMZ5Y_23,exploratory results for cohort status
such_variability,contribute,age,0.15000000000000002,pos,2,2,1,0.16666666666666669,Vague claim that ‘such variability’ contributes to age is ambiguous and poorly formed.,,25_-_genes-15-00153_coMgvEa_13,1. introduction
geographic_location,suggest,identified_gaps,0.15000000000000002,pos,2,2,1,0.16666666666666669,Geographic location does not plausibly 'suggest' gaps in a clear factual way and the relation is vague.,,11_-_PIIS2666606524001007_9MNVWIN_5,statement of principal findings
the_lancet_commission_on_dementia_prevention,part_of,care,0.39803288877010345,span,1,1,1,0.0,"A commission is not a component of 'care', so this relation is incorrect and ill-formed.",,28_-_igae025_TAsiO8F_15,abstract
diabetes,treated_by,other_health_professional,0.5934725463390351,span,5,3,5,0.8333333333333333,Diabetes is commonly treated by other health professionals (accurate and directly fits the disease–health professional relation).,,28_-_igae025_TAsiO8F_15,late life
inflammation,depend,chain,0.2,pos,3,2,2,0.33333333333333337,"Similarly plausible claim that inflammation depends on chain length, but the predicate/object are imprecise and the triple is poorly structured.",,109_-_s12889-024-18478-x_YODN5MZ_64,introduction
primary_health_care,prevents,dementia,0.48484272360801695,span,3,4,4,0.6666666666666666,"Primary health care may reduce dementia risk through risk-factor control, but asserting it definitively prevents dementia is an overgeneralization.",,86_-_Memory_complaint_in_a_middle-income_country___a_four-year_longitudinal_st_5s0pP3s_55,introduction
most_risk_factors,demonstrate_in,income_groups,0.3,svo,3,2,2,0.33333333333333337,Vague statement that most risk factors 'demonstrate in income groups' is hard to interpret and poorly formed.,,12_-_s12916-024-03464-2_KAy1DzV_6,paf trajectory by socioeconomic status
hearing_thresholds,measured_by,air_conduction_pure_tone_audiometric_hearing_thresholds,0.4838832050561905,span,5,4,5,0.9166666666666667,"Air‑conduction pure‑tone audiometry is a standard method for measuring hearing thresholds, so this is factually correct, specific, and well structured.",,93_-_Alz___Dem_Diag_Ass___Dis_Mo_-_2024_-_Medel_-_Cochlear_dysfunction_as_an_e_efLY7H7_59,2.3 audiological evaluations
immediate_memory,measured_by,subtests,0.6283158272504807,span,4,4,4,0.75,"Immediate memory is commonly assessed by neuropsychological subtests, so this is a plausible and well‑formed relation.",,59_-_brainsci-14-00170_74sUHiR_40,2.2.cognitive measurement
diabetes,affects,dpoaes,0.4344190239906311,span,4,4,5,0.8333333333333333,"Diabetes is plausibly associated with altered DPOAEs (hearing function), making the claim meaningful and well-formed.",,93_-_Alz___Dem_Diag_Ass___Dis_Mo_-_2024_-_Medel_-_Cochlear_dysfunction_as_an_e_efLY7H7_59,3.1 less dpoae is correlated with worse dementia rating
sedentary_lifestyle,increase,increased_level,0.15000000000000002,pos,1,1,1,0.0,"The object 'increased_level' is tautological and the triple does not state a clear, meaningful relation.",,52_-_aerobic_exercise_training_for_the_aging_brain__vLXJT2d,cognitive function
independent_variable,create_as,combined_variable,0.35,svo,4,3,2,0.5,"It's plausible in methods sections that an independent variable is created as a combined variable, but the triple uses nonstandard predicate and non-domain entity classes.",,28_-_igae025_TAsiO8F_15,independent variable
fruit,part_of,healthy_diet,0.7126828342676164,span,5,4,3,0.75,"Fruit is widely regarded as part of a healthy diet (factually correct), though 'fruit' and 'healthy_diet' are not exact types in the provided schema.",,112_-_11357_2023_Article_994_Hf4BPFB_65,the construction of healthy lifestyle scores
dementia,treated_by,medical_treatments,0.4895524561405182,span,4,4,5,0.8333333333333333,"Appropriately structured and plausible: dementia (disease) can be managed with medical treatments (treatment), though not curative.",,5_-_Alzheimer_s___Dementia_-_2024_-_Xiao_-_Significance_of_plasma_ptau217_in_p_xCUnl6r_2,1 background
sleep_status,associated_with,cognitive_impairment,0.4759648352861404,span,5,4,5,0.9166666666666667,"Sleep status is clearly associated with cognitive impairment in many studies, making this plausible and well-formed.",,10_-_prevalence_of_cognitive_impairment_and_its_JJn2E0T,3.2. univariate analysis
stroke,causes,stroke-­,0.43331422209739684,span,1,1,1,0.0,This is circular and nonsensical (stroke does not cause a separate entity 'stroke-'); it's incorrect and ill-formed.,,113_-_CNS-30-e70057_hB8kVVH_66,2 | methods
total_vlsfas,associated_with,animal_fluency_test,0.44785483181476593,span,4,4,5,0.8333333333333333,"Total VLSFAs plausibly associate with verbal fluency (animal fluency), and the triple is specific and well-formed.",,109_-_s12889-024-18478-x_YODN5MZ_64,associations between plasma vlsfas and cognitive function
age,account,more_half,0.15000000000000002,pos,2,1,1,0.08333333333333331,Unclear and ungrammatical; object is not a valid entity and relation is ambiguous.,,44_-_cai_2024_oi_240718_1720040123_JiF8b4M,introduction
body_mass_index,measured_by,square,0.49652803540229795,span,1,1,2,0.08333333333333331,"BMI is not measured by 'square' (the term is nonsensical here), so the statement is incorrect and poorly formed.",,112_-_11357_2023_Article_994_Hf4BPFB_65,covariates
effectiveness,with,respect,0.3,prep,1,1,1,0.0,"Nonspecific tokens ('effectiveness', 'with', 'respect') form an incoherent and noninformative triple.",,11_-_PIIS2666606524001007_9MNVWIN_5,articles
potential_deviations,from,normal_aging_pattern,0.2,prep,4,3,2,0.5,The fragment 'potential deviations from normal aging pattern' is plausible but the predicate 'from' is not a well-formed relation in the schema.,,64_-_Alzheimer_s___Dementia_-_2024_-_Charisis_-_Leptin_bioavailability_and_mar_6jCZ8bG_44,4.3 leptin markers and white matter microstructural integrity
physical_inactivity,measured_by,self-reported,0.6705929398536683,span,5,4,3,0.75,"Physical inactivity is commonly measured using self-reported instruments (factually plausible), but the object is a measurement method rather than a listed entity type.",,28_-_igae025_TAsiO8F_15,late life
pvm,causes,inflammatory_responses,0.5598289281129838,span,4,4,4,0.75,"Perivascular macrophages (PVMs) can initiate or drive inflammation, so the causal claim is plausible though somewhat strong.",,37_-_ENEURO_8cwR40c,pathway analysis by gsea in various ad stages
percentage_of_mfi,measured_by,mri,0.540814745426178,span,4,4,4,0.75,"MRI in general can be used to quantify percentage of MFI, so this is a plausible and well-formed statement.",,115_-_fcae083_5XqFIZJ_67,participant sample
gap_junction_signaling_pathway,occurs_in,nhw,0.5769207626581192,span,3,2,1,0.25,"As above, the relation is plausible but 'nhw' is not a defined entity, so the triple is poorly formed.",,58_-_s13148-024-01672-4_it5gU5v_39,discussion
blockade,is_a,sufficient,0.3,copular,1,1,1,0.0,Both predicate and object are adjectives/abstract terms making the triple meaningless and ill-formed.,,46_-_1-s2_FReAaUm,original article
interaction_effects,occurs_in,spe­_cific,0.3818661868572235,span,1,1,1,0.0,"The object 'specific' is meaningless as an entity, so the triple is ill-formed and not informative.",,32_-_fcae213_xz1udej_19,discussion
dementia,occurs_in,these_cases,0.4861949563026428,span,2,1,1,0.08333333333333331,Use of the pronoun-like object 'these_cases' makes the triple ill-formed and uninformative.,,35_-_s12916-024-03424-w_OUo7vC9_22,the role of outcome coding on heterogeneity of odds ratios
core_alzheimer_s_disease_marker,occurs_in,vascular_cell_types,0.46746960282325745,span,2,2,3,0.33333333333333337,"A 'core_alzheimer_s_disease_marker' might be expressed in some cell types, but the subject is vague so the factual claim is uncertain and of limited informativeness.",,37_-_ENEURO_8cwR40c,discussion
undetected_dementia,set,global_target,0.1,pos,3,3,2,0.41666666666666663,It plausibly refers to making undetected dementia a global target but the grammatical role and predicate are unclear.,,16_-_s12877-024-04675-1_IIVGszy_9,introduction
auc,part_of,curve,0.47452166974544524,span,2,2,2,0.25,"The area under a curve is derived from the curve but is not properly described as a 'part_of' the curve, making this imprecise.",,10_-_prevalence_of_cognitive_impairment_and_its_JJn2E0T,an observational study
probable_ci_cases,predict,predicted_probability,0.1,pos,2,2,2,0.25,"The directionality is likely reversed (predicted probability predicts probable cases), so the asserted relation is inaccurate and phrased unclearly.",,68_-_Alzheimer_s___Dementia_-_2024_-_Huh_-_General_cognitive_ability_in_high_s_HHQaFnX_47,2.2.4dementiaoutcomes
lac_data,occurs_in,lac,0.5709144949913025,span,4,3,3,0.5833333333333334,"A dataset labeled 'LAC data' occurring in LAC is plausible and fits a study/dataset notion, but the naming is tautological.",,43_-_s41591-024-03209-x_d9VLc4l_27,cross-regional effects in model generalization
exclusion_criteria,part_of,andes,0.48690677285194395,span,3,3,3,0.5,"Exclusion criteria are typically part of a study (e.g., 'ANDES') so the relation is plausible but the target 'andes' is ambiguous here.",,93_-_Alz___Dem_Diag_Ass___Dis_Mo_-_2024_-_Medel_-_Cochlear_dysfunction_as_an_e_efLY7H7_59,2.1 subjects
familial_alzheimer_disease_history,from,biological_parents,0.2,prep,5,4,4,0.8333333333333333,"Family history of familial Alzheimer disease plausibly originates from biological parents, though the predicate is informal.",,35_-_s12916-024-03424-w_OUo7vC9_22,heterogeneity of risk factors for unattributed dementia
inferior_parietal_lobule,part_of,lobule,0.48345222175121305,span,3,3,3,0.5,"Inferior parietal lobule is a lobule, so saying it is part of a generic 'lobule' is plausible but vague and not very informative.",,52_-_aerobic_exercise_training_for_the_aging_brain__vLXJT2d,gray matter volume
aerobic_exercise,helps_with,brain_health,0.5381871193647385,span,5,4,5,0.9166666666666667,"Aerobic exercise helping with brain health is accurate, meaningful, and well-formed.",,52_-_aerobic_exercise_training_for_the_aging_brain__vLXJT2d,introduction
glial_apoptosis,occurs_in,oligodendrocyte,0.46257157921791076,span,5,4,5,0.9166666666666667,"Glial apoptosis occurring in oligodendrocytes is factually plausible, informative, and fits the schema (event occurs_in anatomy).",,37_-_ENEURO_8cwR40c,discussion
obesity,associated_with,obesity_phenotype,0.45348023176193236,span,5,2,4,0.6666666666666666,The statement is tautologically true (obesity linked to an obesity phenotype) but is trivial and not very informative.,,13_-_s12889-024-19630-3_58XNuB7_7,abstract
changes,occurs_in,brain_structure,0.5572623223066331,span,1,1,1,0.0,"The subject 'changes' is too vague to meaningfully state that they 'occur in brain structure', making the triple uninformative and ill-formed.",,38_-_PIIS2214109X24002754_Abn6hqG_25,articles
epilepsy,affects,brain_health–related_phenotypes,0.5067811340093613,span,4,4,2,0.5833333333333334,"Epilepsy affects brain-health phenotypes is plausible, but the object term is nonstandard for the schema.",,122_-_s11357-024-01224-x_xovPrUB_72,cns disorders
positive_associations,with,hypertension,0.25,prep,4,3,2,0.5,"Plausible assertion that positive associations involve hypertension, but the triple is phrased informally and not fully aligned with schema.",,13_-_s12889-024-19630-3_58XNuB7_7,conclusions
fermentation,occurs_in,malted_barley,0.5058772772550583,span,5,4,2,0.6666666666666666,"Fermentation commonly occurs in malted barley during brewing, so the claim is correct though the entities are outside the provided schema.",,79_-_association-of-alcohol-consumption-with-cognition-and-functionality-in-ol_yNhYEKs_51,alcohol consumption
fine_processes,establish,direct_contact,0.3,svo,3,2,1,0.25,Vague statement that 'fine processes establish direct contact' is plausible in context (cell processes) but is imprecise and poorly specified.,,46_-_1-s2_FReAaUm,original article
process,continue_until,subset_model_performance,0.35,svo,3,3,2,0.41666666666666663,"The concept of a process continuing until a performance criterion is met is plausible, but the object and predicate are awkward and ill-specified.",,5_-_Alzheimer_s___Dementia_-_2024_-_Xiao_-_Significance_of_plasma_ptau217_in_p_xCUnl6r_2,2.4.2featureselection
auditory_structures,with,broader_neurodegenerative_phenomena,0.2,prep,4,4,3,0.6666666666666666,"It is plausible and informative that auditory structures are associated with broader neurodegenerative phenomena, though the predicate is awkward.",,93_-_Alz___Dem_Diag_Ass___Dis_Mo_-_2024_-_Medel_-_Cochlear_dysfunction_as_an_e_efLY7H7_59,4 discussion
office_for_health_improvement_and_disparities,describes,dementia,0.587039265036583,span,4,3,2,0.5,"A health office plausibly publishes descriptions of dementia (correct and informative), but the subject is an organization not defined in the target entity types.",,12_-_s12916-024-03464-2_KAy1DzV_6,background
onset_dementia,over,year_span,0.2,prep,2,2,1,0.16666666666666669,"The phrase is vague and not a clear factual claim (unclear what 'over' relates to), so it's implausible and poorly structured as a triple.",,11_-_PIIS2666606524001007_9MNVWIN_5,articles
complete_or_partial_upper_airway_collapse,leads_to,complete_cessation_of_breathing,0.45747609436511993,span,4,3,4,0.6666666666666666,"Upper airway collapse can cause cessation of airflow (apnea), though the phrasing 'complete cessation of breathing' is somewhat strong.",,62_-_danish-et-al-2024-intersections-of-modifiable-risks-loneliness-is-associa_20wxD2u_43,keywords
atrx,associated_with,intellectual_disability,0.8089750766754151,span,5,5,5,1.0,"Pathogenic ATRX variants cause ATR-X syndrome, which includes intellectual disability, so this is a well-established gene–phenotype association.",,37_-_ENEURO_8cwR40c,discussion
cpgs,part_of,human_genome,0.48981723487377166,span,5,4,5,0.9166666666666667,"CpG dinucleotides are components of the human genome, so this is a correct, relevant, and well‑formed statement.",,58_-_s13148-024-01672-4_it5gU5v_39,discussion
mortality,occurs_in,old_age,0.6270581841468812,span,4,2,4,0.5833333333333334,"Mortality is common in old age (higher incidence), the statement is broadly true but somewhat trivial.",,12_-_s12916-024-03464-2_KAy1DzV_6,interpretation
ors,causes,dementia,0.48674235343933103,span,1,1,1,0.0,"'ors' (likely odds ratios) are not causal agents and cannot cause dementia, so this is factually incorrect and ill-formed.",,35_-_s12916-024-03424-w_OUo7vC9_22,heterogeneity of risk factors for unattributed dementia
hippocampus,part_of,white_matter_microstructural_integrity,0.46066689789295195,span,1,1,1,0.0,"Hippocampus is anatomical grey-matter tissue and is not sensibly 'part_of' a biomarker 'white_matter_microstructural_integrity', making this incorrect and poorly formed.",,52_-_aerobic_exercise_training_for_the_aging_brain__vLXJT2d,summary and recommendation
lateral_ventricle_volumes,part_of,bilateral_hippocampus,0.5065322667360306,span,1,2,2,0.16666666666666669,Incorrect: volume measures are not part of the hippocampus and the relation is ill-formed.,,93_-_Alz___Dem_Diag_Ass___Dis_Mo_-_2024_-_Medel_-_Cochlear_dysfunction_as_an_e_efLY7H7_59,4 discussion
seated_measurements,exclude,first_reading,0.1,pos,3,3,3,0.5,Plausible protocol statement that seated measurements may exclude the first reading.,,17_-_jpad_rKTEFZJ,risk factors
consortium_establish_registry_alzheimer_s_diseaseir,part_of,consortium_establish_registry_alzheimer_s_disease_word_learning_subtest,0.4484560489654541,span,2,2,2,0.25,The subject appears to be a malformed variant name and being part of a word_learning_subtest construct is ambiguous and poorly specified.,,109_-_s12889-024-18478-x_YODN5MZ_64,cognitive function variables
gfap,associated_with,intellectual_disability,0.7521467566490174,span,5,4,5,0.9166666666666667,"GFAP mutations cause Alexander disease which includes developmental delay and cognitive impairment, so association with intellectual disability is plausible and supported.",,37_-_ENEURO_8cwR40c,discussion
skill_sports,involve,motor,0.15000000000000002,pos,4,3,2,0.5,"Skill sports do involve motor (skills), which is a plausible statement but the object is underspecified.",,52_-_aerobic_exercise_training_for_the_aging_brain__vLXJT2d,midlife aerobic exercise and neurocognitive function
higher_fa_values,reflect,tissue,0.15000000000000002,pos,3,2,2,0.33333333333333337,"Higher FA values do reflect properties of tissue, but the object is overly generic and the predicate is informal.",,64_-_Alzheimer_s___Dementia_-_2024_-_Charisis_-_Leptin_bioavailability_and_mar_6jCZ8bG_44,4.3 leptin markers and white matter microstructural integrity
modifiable_risk_factors,leads_to,brain_ageing_and_cognitive_decline,0.39239564538002014,span,5,5,5,1.0,It is plausible and informative that modifiable risk factors lead to brain ageing and cognitive decline and the triple is well-formed.,,25_-_genes-15-00153_coMgvEa_13,1. introduction
tracts,part_of,white_matter_tracts,0.601794993877411,span,1,1,2,0.08333333333333331,"The general concept 'tracts' is not part of the narrower 'white matter tracts', so this is incorrect.",,115_-_fcae083_5XqFIZJ_67,brain structure mediates the link between sarcopenic and cognitive traits
aerobic_exercise,improve,fluid_cognitive_performance,0.15000000000000002,pos,5,5,5,1.0,"Aerobic exercise improving fluid cognitive performance is a plausible, informative, and well-formed lifestyle->outcome relation.",,52_-_aerobic_exercise_training_for_the_aging_brain__vLXJT2d,cognitive function
specific_pathological_proteins,occurs_in,central_nervous_system,0.5664503604173661,span,4,3,4,0.6666666666666666,"Specific pathological proteins (as biomarkers/pathology) are present in the CNS, so the triple is plausible and reasonably formed.",,105_-_s12916-024-03418-8_sYLiP2s_61,background
non_-_pharmacological_interventions,include_for,instance,0.35,svo,1,1,1,0.0,Completely malformed triple ('include_for' -> 'instance') with no clear factual content or schema fit.,,17_-_jpad_rKTEFZJ,discussion
mid-life_factors,risk_factor_of,mrfs,0.5689395815134048,span,2,1,1,0.08333333333333331,"As above, linking 'mid_life_factors' to an undefined 'mrfs' is ambiguous and not well structured or informative.",,12_-_s12916-024-03464-2_KAy1DzV_6,interpretation
log-fold_change,occurs_in,advanced_alzheimer_s_disease,0.39061975479125977,span,3,2,2,0.33333333333333337,"Log-fold changes in expression may be reported for advanced AD, but phrasing is ambiguous and measurement is not an entity that 'occurs in' a disease.",,37_-_ENEURO_8cwR40c,intermediate ad
pairs,match,reaction,0.15000000000000002,pos,1,1,1,0.0,"The terms 'pairs', 'match', and 'reaction' are ambiguous here and do not form a coherent medical triple.",,105_-_s12916-024-03418-8_sYLiP2s_61,cognitive outcomes
complex_work,indicate,complex_jobs,0.1,pos,3,1,2,0.25,This is essentially tautological (complex work indicates complex jobs) and the predicate is nonstandard.,,68_-_Alzheimer_s___Dementia_-_2024_-_Huh_-_General_cognitive_ability_in_high_s_HHQaFnX_47,1 background
lifetime,with,continuous_engagement,0.25,prep,2,1,1,0.08333333333333331,The triple is vague and ill-formed (lifetime with continuous_engagement) and conveys little concrete information.,,52_-_aerobic_exercise_training_for_the_aging_brain__vLXJT2d,cognitive function
debate,eat,eating_changes,0.15000000000000002,pos,1,1,1,0.0,The predicate 'eat' with subject 'debate' and object 'eating_changes' is nonsensical and not a valid triple.,,92_-_PIIS2666606524000452_q1YNam3_58,series
sleep_duration,measured_by,actigraphy,0.6575784593820573,span,5,4,4,0.8333333333333333,"Sleep duration is accurately and usefully measured by actigraphy, making this a correct and well-formed relation.",,26_-_zsad302_tSollNn_14,limitations
neural_circuits,enhance,brain,0.2,pos,2,2,2,0.25,"The notion that neural circuits 'enhance brain' is vague and semantically unclear, making the claim weak and ill-specified.",,52_-_aerobic_exercise_training_for_the_aging_brain__vLXJT2d,gray matter volume
identified_gender,serve,only_categorical_covariate,0.1,pos,2,2,2,0.25,Saying identified gender 'serve only categorical covariate' is unlikely to hold generally and is phrased awkwardly.,,26_-_zsad302_tSollNn_14,covariates: continuous and categorical.
childhood_obesity_rates,occur,estimates,0.15000000000000002,pos,1,1,1,0.0,Phrase is nonsensical (estimates are not an occurrence) and fails schema fit.,,51_-_PIIS2666756824000059_wqnFMku_33,added value of this study
physical_inactivity,occurs_in,adults,0.4791532665491104,span,5,3,5,0.8333333333333333,"Physical inactivity occurs in adults is a broadly true and well-formed assertion, though generic.",,54_-_Alzheimer_s___Dementia_-_2023_-_Brady_-_Sex_and_gender_differences_in_ris_ZePv4lX_35,3.2.2riskprofiles by gender
expression,occurs_in,brain,0.8097624838352204,span,3,2,2,0.33333333333333337,Gene or protein expression occurring in the brain is plausible but the subject 'expression' is too generic.,,25_-_genes-15-00153_coMgvEa_13,4. discussion
intervention_programs,prevents,dementia_modifiable_risk_factors,0.4454455405473709,span,4,4,5,0.8333333333333333,"Intervention programs can prevent or reduce modifiable risk factors, so this is plausible and well-formed.",,17_-_jpad_rKTEFZJ,discussion
dementia_cases,lead,sixth_leading_cause,0.1,pos,1,1,1,0.0,Nonsensical as written (dementia cases do not 'lead sixth_leading_cause'); the claim is incorrect and malformed.,,31_-_zpae077_ruWgbRL_18,introduction
educational_attainment,risk_factor_of,clinical_dementia_rating-func_scores,0.4392679661512375,span,3,3,3,0.5,"Educational attainment can influence CDR functional scores, but 'risk_factor_of' is a suboptimal relation for an exposure→score association.",,60_-_jad2F20242F98-12Fjad-98-1-jad2311162Fjad-98-jad231116_GtaH9Wb_41,results
cognitive_control,for,entire_sample,0.2,prep,4,2,2,0.41666666666666663,Cognitive control measured for the entire sample is plausible but the relation wording is informal and underspecified.,,65_-_1-s2_he0YXDz,"relations of vo2peak with fluency, cognitive control, and working memory"
suspected_osa,treated_by,stop-bang,0.4614662826061249,span,1,2,2,0.16666666666666669,"STOP‑Bang screens for OSA risk rather than treating suspected OSA, making this statement factually incorrect.",,31_-_zpae077_ruWgbRL_18,results
par_for_dementia,measured_by,par,0.5295446395874024,span,1,1,1,0.0,The terms 'par_for_dementia' and 'par' are unclear and the triple is nonsensical and not well-formed.,,92_-_PIIS2666606524000452_q1YNam3_58,low educational attainment
svm,predicts,poor_cognition,0.48317134380340576,span,4,4,3,0.6666666666666666,"An SVM predicting poor cognition is a plausible statement about a model, though the model is not a domain entity type here.",,33_-_journal_ctZxPZh,construction and prediction of the overall impaired cognition score
b_scores,identify,impairment,0.15000000000000002,pos,4,4,3,0.6666666666666666,"The claim that B-scores can identify impairment is plausible and informative, though 'b_scores' should be more specifically typed.",,2_-_dc231524_M1uM06w_1,results
correlation_coefficient,between,mmse,0.25,prep,1,1,1,0.0,Same issue as above: incomplete and malformed statement about a correlation and MMSE.,,36_-_jmir-2024-1-e49794_bCxMZ5Y_23,results
z_-score,quantify,distance,0.35,svo,4,2,3,0.5,"A z-score quantifies distance from the mean, so the claim is accurate but the object 'distance' is vague.",,43_-_s41591-024-03209-x_d9VLc4l_27,eeg preprocessing
gender_identity,risk_factor_of,transgender,0.49532381296157835,span,1,1,2,0.08333333333333331,Treating 'gender_identity' as a risk factor for being 'transgender' is nonsensical (it conflates identity with a causal risk).,,54_-_Alzheimer_s___Dementia_-_2023_-_Brady_-_Sex_and_gender_differences_in_ris_ZePv4lX_35,4.3 limitations and future directions
sex_differences,increase,brain,0.2,pos,1,1,1,0.0,"Unclear what 'increase brain' means (increase what about the brain), so the triple is incorrect and ill-formed.",,43_-_s41591-024-03209-x_d9VLc4l_27,discussion
brain­_stem,part_of,brain,0.5399939894676209,span,5,4,5,0.9166666666666667,"The brainstem is anatomically part of the brain, so this is correct, relevant, and well-formed.",,115_-_fcae083_5XqFIZJ_67,brain structure mediates the link between sarcopenic and cognitive traits
min,after,insulin_administration,0.3,prep,1,1,1,0.0,Again fragmentary ('min') and does not form a meaningful relation to insulin administration.,,46_-_1-s2_FReAaUm,2.10.insulintolerance test
